@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
1,0,1,7,1,21,14,0.4,0,T12,V,100,0,0,no
1,0,1,7,1,21,14,0.4,0,T12,V,100,0,0,no
1,0,1,7,1,21,14,0.4,0,T12,V,100,0,0,no
1,0,1,7,1,21,14,0.4,0,T12,V,100,0,0,no
1,0,1,7,1,21,14,0.4,0,T12,V,100,0,0,no
1,0,1,4,1,21,14,0.4,0,T7,V,5,0,0,no
1,0,1,4,1,21,14,0.4,0,T7,V,5,0,0,no
1,0,4,27,5,21,14,0.4,0,T1,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T1,V,13,0,0,no
1,0,4,27,5,21,14,0.4,0,T6,V,19,0,0,no
1,0,4,27,5,21,14,0.4,0,T6,V,19,0,0,no
1,0,4,27,5,21,14,0.4,0,T6,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T6,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T6,V,15,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,19,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,19,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,19,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,19,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,15,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,13,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,13,0,0,no
1,0,4,27,5,21,14,0.4,0,T7,V,13,0,0,no
1,0,4,27,5,21,14,0.4,0,T8,V,19,0,0,no
1,0,4,27,5,21,14,0.4,0,T8,V,19,0,0,no
1,0,4,27,5,21,14,0.4,0,T8,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T8,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T8,V,15,0,0,no
1,0,4,27,5,21,14,0.4,0,T12,V,6,0,0,no
1,0,4,27,5,21,14,0.4,0,T12,V,15,0,0,no
1,0,2,17,3,21,14,0.4,0,T1,method,1,0,0,no
1,0,2,17,3,21,14,0.4,0,T6,method,1,0,0,no
1,0,2,17,3,21,14,0.4,0,T6,method,1,0,0,no
1,0,2,17,3,21,14,0.4,0,T7,method,1,0,0,no
1,0,2,17,3,21,14,0.4,0,T7,method,1,0,0,no
1,0,2,17,3,21,14,0.4,0,T7,method,1,0,0,no
1,0,2,17,3,21,14,0.4,0,T7,method,1,0,0,no
